,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrumented,0.80151,2.1207,2.8874,1.0729,2.2514,1.2037,0.78092,0.94041,1.4979,1.0002,0.94246,1.3467,0.96261,1.4918,1.0831,0.60543,1.1055,0.76542,2.2693,3.8837,1.0401,1.649,2.0038,3.1044,1.4485,1.144,1.7936,1.1779,1.8322,0.61726,3.2714,1.2184,1.3391,1.1074,1.1582,
Crosslink,0.82085,2.1721,2.8196,1.1481,2.2698,1.1481,0.77195,0.88806,1.4235,0.90595,0.91058,1.2503,0.97593,1.3841,1.0716,0.58729,1.074,0.8059,2.4374,3.9257,1.0114,1.5313,2.0615,2.9563,1.4291,1.049,1.64,1.2384,1.7526,0.64059,3.2464,1.1894,1.3718,1.0264,1.1143,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIF_Bilateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrumented,0.75965,2.0109,2.7261,0.67119,2.4384,1.0584,0.59272,0.55319,1.2962,0.5935,0.71999,1.1746,0.57652,0.89372,0.97533,0.44633,0.80165,0.72321,2.3253,2.8535,0.92565,1.772,1.6758,2.2129,1.2546,0.8875,1.6763,1.078,1.5078,0.57656,3.1041,1.0245,1.2812,1.1433,0.9286,
Crosslink,0.73419,2.0425,2.6366,0.75897,2.3956,1.0146,0.61165,0.51622,1.2627,0.68298,0.70215,1.0422,0.53068,0.847,0.98831,0.45136,0.79375,0.71254,2.396,2.9293,0.86317,1.6327,1.769,2.202,1.3205,0.80426,1.5845,1.0214,1.474,0.58643,3.1602,1.0439,1.296,0.9717,0.91364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrumented,0.57697,2.1794,2.8182,0.81814,2.3818,1.4444,0.44774,0.54228,1.0236,1.094,0.68916,1.0523,0.38677,0.75765,1.0827,0.70725,0.82765,0.66409,2.5553,2.7295,0.79009,1.6381,1.5524,2.0063,0.51551,0.64832,1.4536,1.235,1.7953,0.61722,2.3995,1.2634,0.96788,1.282,1.0068,
Crosslink,0.60788,2.4409,2.8551,0.88377,2.4744,1.3461,0.43294,0.56221,0.97023,1.1648,0.63482,0.99588,0.39886,0.70429,1.0021,0.68984,0.86142,0.69947,2.6256,2.8798,0.77251,1.7497,1.6408,1.9,0.52674,0.64888,1.3169,1.1792,1.7435,0.61641,2.4414,1.3467,0.94152,1.2951,1.0014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facetectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrumented,0.584,2.5386,2.9733,0.88937,2.5533,1.5144,0.45848,0.63057,1.0117,1.2191,0.64554,1.1021,0.42681,0.75929,1.1456,0.75951,0.93672,0.71288,2.7092,2.9452,0.93449,1.8766,1.7466,2.2169,0.53187,0.70289,1.504,1.3069,1.8678,0.72439,2.6843,1.3938,1.2247,1.6286,1.0337,
Crosslink,0.64121,2.5083,2.9485,0.872,2.4925,1.454,0.45324,0.63563,0.98009,1.1125,0.66884,1.036,0.40448,0.77156,1.0769,0.78332,1.0067,0.7442,2.7748,3.0151,0.8675,1.7546,1.8619,2.0489,0.56604,0.69464,1.504,1.3137,1.8849,0.70031,2.6645,1.4571,1.0117,1.5574,1.0728,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleotomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,,3.4992,3.3811,,,3.0313,0.9922,1.8633,2.569,1.835,1.5619,1.9093,1.5266,2.6104,2.6462,0.99206,1.9451,0.95441,3.0505,5.0351,1.6202,1.0534,2.1194,3.6439,2.0538,2.7965,4.3492,1.2507,2.3758,0.76441,,,1.9035,1.6881,2.3526,3.1375
Instrumented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
